Id,season,date,team1,team2,toss_winner,toss_decision,winner,win_by_wickets,win_by_runs,man_of_match,venue,umpire1,umpire2,result
1,2016,2/4/2016,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,8,0,Mohammad Nawaz ,Dubai International Cricket Stadium,JS Wilson,Shozab Raza,normal
2,2016,2/5/2016,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,bat,Peshawar Zalmi,0,24,Mohammad Asghar,Dubai International Cricket Stadium,Rashid Riaz,Shozab Raza,normal
3,2016,2/5/2016,Lahore Qalandars,Karachi Kings,Karachi Kings,field,Karachi Kings,7,0,Shakib Al Hasan,Dubai International Cricket Stadium,Rashid Riaz,Shozab Raza,normal
4,2016,2/6/2016,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,9,0,Tamim Iqbal,Dubai International Cricket Stadium,Rashid Riaz,JS Wilson,normal
5,2016,2/7/2016,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,8,0,Ahmed Shehzad,Dubai International Cricket Stadium,Rashid Riaz,Shozab Raza,normal
6,2016,2/7/2016,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,field,Quetta Gladiators,3,0,Mohammad Nawaz ,Dubai International Cricket Stadium,Rashid Riaz,Shozab Raza,normal
7,2016,2/7/2016,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,0,2,Saeed Ajmal,Dubai International Cricket Stadium,JS Wilson,Rashid Riaz,normal
8,2016,2/8/2016,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,0,63, Umar Akmal,Dubai International Cricket Stadium,JS Wilson,Aleem Dar,normal
9,2016,2/10/2016,Islamabad United,Lahore Qalandars,Islamabad United,field,Islamabad United,8,0,Sharjeel Khan,Dubai International Cricket Stadium,JS Wilson,Aleem Dar,normal
10,2016,2/11/2016,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,7,0,GD Elliott,Dubai International Cricket Stadium,JS Wilson,Aleem Dar,normal
11,2016,2/12/2016,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,field,Peshawar Zalmi,7,0,Tamim Iqbal,Dubai International Cricket Stadium,Shozab Raza,Rashid Riaz,normal
12,2016,2/12/2016,Karachi Kings,Lahore Qalandars,Lahore Qalandars,field,Karachi Kings,0,27,RS Bopara,Sharjah Cricket Stadium,Aleem Dar,JS Wilson,normal
13,2016,2/13/2016,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,0,4,CS Delport,Sharjah Cricket Stadium,Aleem Dar,JS Wilson,normal
14,2016,2/13/2016,Karachi Kings,Quetta Gladiators,Karachi Kings,bat,Quetta Gladiators,5,0,GD Elliott,Sharjah Cricket Stadium,Shozab Raza,Rashid Riaz,normal
15,2016,2/14/2016,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,bat,Peshawar Zalmi,8,0,Shahid Afridi,Sharjah Cricket Stadium,Shozab Raza,Ahmed Shahab,normal
16,2016,2/14/2016,Karachi Kings,Islamabad United,Islamabad United,field,Islamabad United,5,0,Imran Khalid,Sharjah Cricket Stadium,JS Wilson,Aleem Dar,normal
17,2016,2/16/2016,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,2,0,Bismillah Khan,Dubai International Cricket Stadium,JS Wilson,Aleem Dar,normal
18,2016,2/17/2016,Lahore Qalandars,Islamabad United,Islamabad United,field,Islamabad United,5,0,Mohammad Irfan,Dubai International Cricket Stadium,JS Wilson,Aleem Dar,normal
19,2016,2/17/2016,Karachi Kings,Peshawar Zalmi,Karachi Kings,bat,Peshawar Zalmi,5,0,BJ Hodge,Dubai International Cricket Stadium,Shozab Raza,Ahsan Raza,normal
20,2016,2/19/2016,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,2,0,Mohammad Nawaz ,Dubai International Cricket Stadium,Shozab Raza,Aleem Dar,normal
21,2016,2/20/2016,Karachi Kings,Islamabad United,Islamabad United,field,Islamabad United,9,0,Mohammad Sami,Dubai International Cricket Stadium,Ahsan Raza,Aleem Dar,normal
22,2016,2/21/2016,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,field,Islamabad United,0,50,Sharjeel Khan,Dubai International Cricket Stadium,JS Wilson,Aleem Dar,normal
23,2016,2/23/2016,Quetta Gladiators,Islamabad United,Islamabad United,field,Islamabad United,0,6, DR Smith,Dubai International Cricket Stadium,JS Wilson,Aleem Dar,normal
24,2017,2/9/2017,Islamabad United,Peshawar Zalmi,Islamabad United,field,Islamabad United,7,0,BJ Haddin,Dubai International Cricket Stadium,Shozab Raza,Ahsan Raza,normal
25,2017,2/10/2017,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,7,0,EJG Morgan,Dubai International Cricket Stadium,Ahmed Shahab,Ahsan Raza,normal
26,2017,2/10/2017,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,field,Quetta Gladiators,0,8, Hassan Khan,Dubai International Cricket Stadium,Rashid Riaz,Shozab Raza,normal
27,2017,2/11/2017,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,7,0,RR Rossouw,Dubai International Cricket Stadium,Aleem Dar,Rashid Riaz,normal
28,2017,2/11/2017,Islamabad United,Lahore Qalandars,Lahore Qalandars,field,Lahore Qalandars,6,0,JJ Roy,Dubai International Cricket Stadium,Asif Yaqoob,Shozab Raza,normal
29,2017,2/12/2017,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,3,0,Yasir Shah,Dubai International Cricket Stadium,RK Illingworth,Aleem Dar,normal
30,2017,2/15/2017,Islamabad United,Quetta Gladiators,Islamabad United,field,Islamabad United,5,0,SW Billings,Dubai International Cricket Stadium,RK Illingworth,Aleem Dar,normal
31,2017,2/16/2017,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Lahore Qalandars,0,7,Fakhar Zaman,Sharjah Cricket Stadium,Aleem Dar,RK Illingworth,normal
32,2017,2/17/2017,Islamabad United,Karachi Kings,Karachi Kings,field,Karachi Kings,0,8, Babar Azam,Sharjah Cricket Stadium,Aleem Dar,RK Illingworth,normal
33,2017,2/17/2017,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,draw,0,0,,Sharjah Cricket Stadium,Ahsan Raza,Asif Yaqoob,draw
34,2017,2/18/2017,Islamabad United,Peshawar Zalmi,Islamabad United,field,Islamabad United,5,0,Mohammad Sami,Sharjah Cricket Stadium,RK Illingworth,Aleem Dar,normal
35,2017,2/18/2017,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,5,0,KP Pietersen,Sharjah Cricket Stadium,Rashid Riaz,Shozab Raza,normal
